n,instance,method,lambda,run_index,seed,feasible,optimal,objective_value,optimal_value,approximation_ratio,runtime_s
8,hypergraph_r3_n8_d5_w1_0,qaoa,0.3,0,42,False,False,,9.000000,,7.940474
8,hypergraph_r3_n8_d5_w1_0,qaoa,0.3,1,43,False,False,,9.000000,,0.578561
8,hypergraph_r3_n8_d5_w1_0,qaoa,0.3,2,44,True,False,13.000000,9.000000,1.444444,0.581065
8,hypergraph_r3_n8_d5_w1_0,qaoa,0.3,3,45,False,False,,9.000000,,0.917340
8,hypergraph_r3_n8_d5_w1_0,qaoa,0.3,4,46,False,False,,9.000000,,0.881598
8,hypergraph_r3_n8_d5_w1_0,annealer,0.3,0,42,False,False,,9.000000,,3.187632
8,hypergraph_r3_n8_d5_w1_0,annealer,0.3,1,43,False,False,,9.000000,,3.186372
8,hypergraph_r3_n8_d5_w1_0,annealer,0.3,2,44,False,False,,9.000000,,3.177493
8,hypergraph_r3_n8_d5_w1_0,annealer,0.3,3,45,False,False,,9.000000,,3.174482
8,hypergraph_r3_n8_d5_w1_0,annealer,0.3,4,46,False,False,,9.000000,,3.183713
8,hypergraph_r3_n8_d5_w1_0,qaoa,1,0,42,True,True,9.000000,9.000000,1.000000,0.866531
8,hypergraph_r3_n8_d5_w1_0,qaoa,1,1,43,True,True,9.000000,9.000000,1.000000,0.621699
8,hypergraph_r3_n8_d5_w1_0,qaoa,1,2,44,True,False,10.000000,9.000000,1.111111,0.661936
8,hypergraph_r3_n8_d5_w1_0,qaoa,1,3,45,True,True,9.000000,9.000000,1.000000,1.123105
8,hypergraph_r3_n8_d5_w1_0,qaoa,1,4,46,True,True,9.000000,9.000000,1.000000,0.625170
8,hypergraph_r3_n8_d5_w1_0,annealer,1,0,42,False,False,,9.000000,,3.173286
8,hypergraph_r3_n8_d5_w1_0,annealer,1,1,43,False,False,,9.000000,,3.181090
8,hypergraph_r3_n8_d5_w1_0,annealer,1,2,44,False,False,,9.000000,,3.192790
8,hypergraph_r3_n8_d5_w1_0,annealer,1,3,45,False,False,,9.000000,,3.175408
8,hypergraph_r3_n8_d5_w1_0,annealer,1,4,46,False,False,,9.000000,,3.192957
8,hypergraph_r3_n8_d5_w1_0,qaoa,3,0,42,True,True,9.000000,9.000000,1.000000,1.102697
8,hypergraph_r3_n8_d5_w1_0,qaoa,3,1,43,True,False,12.000000,9.000000,1.333333,0.786403
8,hypergraph_r3_n8_d5_w1_0,qaoa,3,2,44,True,False,10.000000,9.000000,1.111111,0.612260
8,hypergraph_r3_n8_d5_w1_0,qaoa,3,3,45,True,True,9.000000,9.000000,1.000000,0.953604
8,hypergraph_r3_n8_d5_w1_0,qaoa,3,4,46,True,False,12.000000,9.000000,1.333333,0.622311
8,hypergraph_r3_n8_d5_w1_0,annealer,3,0,42,True,True,9.000000,9.000000,1.000000,3.181400
8,hypergraph_r3_n8_d5_w1_0,annealer,3,1,43,True,True,9.000000,9.000000,1.000000,3.191848
8,hypergraph_r3_n8_d5_w1_0,annealer,3,2,44,True,True,9.000000,9.000000,1.000000,3.177906
8,hypergraph_r3_n8_d5_w1_0,annealer,3,3,45,False,False,,9.000000,,3.187799
8,hypergraph_r3_n8_d5_w1_0,annealer,3,4,46,False,False,,9.000000,,3.180926
8,hypergraph_r3_n8_d5_w1_0,kahypar,,,-1,True,True,9.000000,9.000000,1.000000,0.008476
8,hypergraph_r3_n8_d5_w1_1,qaoa,0.3,0,42,True,True,9.000000,9.000000,1.000000,0.975496
8,hypergraph_r3_n8_d5_w1_1,qaoa,0.3,1,43,False,False,,9.000000,,0.929280
8,hypergraph_r3_n8_d5_w1_1,qaoa,0.3,2,44,True,False,11.000000,9.000000,1.222222,0.462087
