n,edge_size,average_degree,method,lambda,instances,runs_per_instance,optimality_rate,optimality_rate_std,feasibility_rate,feasibility_rate_std,approximation_ratio,approximation_ratio_std,avg_runtime_s,notes
8,3,5,qaoa,0.3,100,5,0.670000,0.330034,0.288000,0.271396,1.089429,0.090670,0.820236,QAOA COBYLA default; std columns computed across five run-level rates
8,3,5,annealer,0.3,100,5,,,0.000000,0.000000,,,3.215466,Simulated annealing; std columns computed across five run-level rates
8,3,5,qaoa,1,100,5,0.863869,0.241427,0.960000,0.020976,1.031683,0.059139,0.696265,QAOA COBYLA default; std columns computed across five run-level rates
8,3,5,annealer,1,100,5,1.000000,0.000000,0.378000,0.019391,1.000000,0.000000,3.231925,Simulated annealing; std columns computed across five run-level rates
8,3,5,qaoa,3,100,5,0.437557,0.230091,0.974000,0.019596,1.142608,0.082173,0.780475,QAOA COBYLA default; std columns computed across five run-level rates
8,3,5,annealer,3,100,5,1.000000,0.000000,0.994000,0.008000,1.000000,0.000000,3.200478,Simulated annealing; std columns computed across five run-level rates
9,3,5,qaoa,0.3,100,5,0.553602,0.428728,0.370000,0.317679,1.077247,0.082592,1.051817,QAOA COBYLA default; std columns computed across five run-level rates
9,3,5,annealer,0.3,100,5,1.000000,0.000000,0.010000,0.000000,1.000000,0.000000,3.956422,Simulated annealing; std columns computed across five run-level rates
9,3,5,qaoa,1,100,5,0.853980,0.282026,0.996000,0.004899,1.033920,0.066837,0.943070,QAOA COBYLA default; std columns computed across five run-level rates
9,3,5,annealer,1,100,5,1.000000,0.000000,0.786000,0.022450,1.000000,0.000000,3.972491,Simulated annealing; std columns computed across five run-level rates
9,3,5,qaoa,3,100,5,0.262000,0.177696,1.000000,0.000000,1.167401,0.060519,1.022053,QAOA COBYLA default; std columns computed across five run-level rates
9,3,5,annealer,3,100,5,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,3.944984,Simulated annealing; std columns computed across five run-level rates
10,3,5,qaoa,0.3,100,5,0.537037,0.465917,0.262000,0.296068,1.216220,0.254668,1.309018,QAOA COBYLA default; std columns computed across five run-level rates
10,3,5,annealer,0.3,100,5,,,0.000000,0.000000,,,4.784351,Simulated annealing; std columns computed across five run-level rates
10,3,5,qaoa,1,100,5,0.783441,0.292184,0.988000,0.009798,1.050422,0.081173,1.168276,QAOA COBYLA default; std columns computed across five run-level rates
10,3,5,annealer,1,100,5,1.000000,0.000000,0.486000,0.017436,1.000000,0.000000,4.793021,Simulated annealing; std columns computed across five run-level rates
10,3,5,qaoa,3,100,5,0.202649,0.184551,0.974000,0.021541,1.227608,0.105988,1.263846,QAOA COBYLA default; std columns computed across five run-level rates
